Energy,Step0,Step1,Step2,Step3,Step4,Step5,Step6
0.000154,50575671455.42587,50768751531.1242,51075334210.9749,51207265282.22213,50990311965.06002,51111353487.56938,51158681141.69934
0.00018925,4226150099.4064775,4176342978.7946663,4253415854.1309047,4226820225.482654,4262001844.481915,4239301323.6514397,4248264259.920299
0.0002,9046785794.140945,9089590097.256714,9137001517.146194,9153587137.531559,9110782834.415792,9167492253.61222,9087956664.946033
0.00020875,1337559083.1841695,1355145704.395824,1356209529.541754,1370818278.0023997,1344189143.05034,1396768910.3023307,1363476209.180292
0.000225,16102920196.120129,16093329016.654854,16193345333.524181,16147944291.86323,16255415761.33002,16243730437.876696,16296084037.577976
0.0002625,20845611851.619328,20952496960.769466,20991908750.624588,21045225656.560375,21120237894.21237,21123756056.112297,21096239004.109303
0.000295,8252812042.511192,8247451033.901781,8300390993.919717,8329792775.511956,8288621904.706869,8299511453.444736,8332305748.297618
0.0004275,72068290033.59352,72393301180.53906,72820087725.30391,72853175200.31512,72571303419.52342,72621144046.43904,73016099602.58551
0.00061,24278667739.871037,24468816013.986088,24545545449.708286,24441131430.46405,24575617357.3767,24524185181.030163,24640661469.645576
0.0006765,2369871550.382012,2404223888.3620048,2355564358.655646,2387269698.634742,2375249312.1433277,2374587562.6431036,2389280076.863271
0.0008165000000000001,40676443409.50878,40891511997.08164,41087356342.8442,41016658041.80759,40995549070.40803,41151269617.35952,41202827442.345345
0.00105,23737708464.877636,23741896752.853737,23942306332.510242,23932924567.44377,23942808927.067375,23991016121.672314,24119973508.456512
0.001325,33073988723.926785,33328008389.677402,33393303799.224842,33382246718.96793,33477153324.506413,33393220033.46532,33504586610.749886
0.001525,4119930928.044542,4142313138.9888334,4168954838.8048215,4157998277.4593377,4152272887.7960052,4108442454.1260924,4165868070.566434
0.001675,18799842589.69206,18846667649.264885,19005487529.31869,19039203247.526318,18917491598.940777,18951793677.465057,19020984194.83027
0.002,25215839057.403732,25335791625.03931,25489585559.521793,25523133746.210373,25475052200.244717,25441797193.714462,25480371325.97437
0.002245,5031892940.249079,5066655730.450729,5034280264.395457,5038342903.732277,5080812143.809956,5082529341.880158,5105606808.628483
0.002435,15004164728.469397,15151927528.266293,15274016122.76968,15206710334.993713,15225013153.449282,15191129903.722612,15344002414.850353
0.00279,18939103164.897465,19107639873.055832,19268679545.736973,19165982724.56294,19149187689.778767,19165103184.08796,19190567974.982662
0.00337,27823592799.96444,28179262214.895065,28230191796.68447,28131976443.644867,28129798533.897293,28299968674.36634,28312826718.452972
0.00382,5416712839.493378,5388735075.813012,5411393713.763727,5426010838.800324,5419393343.798083,5417257316.93027,5443727296.939239
0.00495,55029915718.01089,55395972087.12225,55565178921.35679,55328959479.50461,55441205597.26416,55729359810.02001,55707999541.34189
0.007015,37568440551.08239,37762232635.73666,37967877575.36329,37961008783.08248,38023246742.407364,38096332367.59035,38092856088.57018
0.008765,21808834320.363384,21916515204.22898,21955591931.046017,21992490748.11548,22062560805.955673,22070727967.509075,22069010769.438873
0.01125,41223098756.14968,41158808535.71651,41417184020.96227,41414335985.13852,41528424949.60755,41494709231.399925,41582328215.85999
0.015,35604929265.005775,35760649811.95726,35933709871.12982,35934044934.16791,35885041964.84751,35972116471.87068,36042144646.831116
0.021,52066701974.918365,52201983676.54648,52439459604.79149,52539978516.21795,52591075629.5264,52422287624.08947,52819337324.22398
0.0275,25073688563.494812,25182877231.031807,25343665606.43438,25200258626.132633,25306012897.52922,25158040683.33352,25353256785.899654
0.0375,56690990729.333145,57002180525.957565,57368236895.068924,57218296185.52445,57457866257.757515,57222903302.298164,57586865527.42147
0.0475,15075910101.500032,15187276678.784597,15259985358.049738,15203694767.650919,15330599893.326826,15252907151.370125,15370807457.89741
0.051,5671905225.877303,5697537548.291051,5745409679.857903,5703694331.615921,5757555714.9886,5755712868.279115,5740174319.887774
0.056,20891850550.8755,21012012532.90988,21159733449.82702,21115002534.24224,21206139680.602234,21166309061.949497,21213511067.440174
0.0665,29243925018.420322,29439518066.90431,29635823124.344234,29580537723.05968,29667151518.405483,29637707853.93348,29640807187.035797
0.074,4147690900.7501493,4161059915.9698687,4166052355.2373824,4223762775.260099,4169059546.0042243,4173708545.657698,4167937084.8266287
0.0785,13566157934.75436,13675974845.487768,13793163143.059116,13622029696.355568,13851715408.965029,13787718368.690184,13748599758.993385
0.0835,5357490447.511288,5424126109.211079,5476144645.874272,5350370357.951914,5451685044.093833,5446575332.762988,5384002310.400017
0.0925,25051323105.702427,25285950998.123688,25328545886.840652,25364313866.156567,25519322404.152122,25317865752.50159,25409379844.77943
0.11415,40163587546.83503,40311099049.353355,40586018272.10473,40659103897.28772,40663627248.30191,40521183574.23466,40804940084.61561
0.13915,26234137513.033535,26264753898.138847,26562164227.321884,26448117145.732613,26481120854.984303,26459970000.704983,26536992616.58551
0.175,50271601748.360825,50618810821.57973,50726868651.363174,50840371255.51555,50742365316.87475,50843721885.89643,50997432054.61939
0.23500000000000001,56038455462.65637,56355508862.447334,56623978121.71551,56670886947.04785,56727010005.92763,56786902523.98589,56827110088.55648
